sequence,frame_range,window_file,frame,start,end,event_type,density_mean,speed_mean,occupancy_mean,speed_samples_mean,speed_reliable_ratio,speed_std_mean,congestion_score,occlusion_score,stopped_ratio,ego_motion,ego_speed_diff,ego_speed_mean,empty_like,heatmap_mean,heatmap_sum,occlusion_like,occupancy_max,speed_ratio,static_change_focus,static_dwell_norm,vehicle_count_diff,vehicle_count_max,vehicle_count_mean,vehicle_count_std
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,30,1,30,Unknown,0.166666641831398,7.784071445465088,0.0,1.2243589162826538,0.9551282051282052,1.311581015586853,-1.0,2.0,0.0,0.07383807748556137,0.0,8.0,0.0,0.05333333333333334,200.0,1.0,0.0,0.973008930683136,0.07383807748556137,0.9282609820365906,3.0,10.0,6.666666507720947,1.2202003002166748
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,40,11,40,Unknown,0.19500002264976501,8.866143226623535,0.0,1.3742331266403198,0.9693251533742331,1.8190929889678955,-1.0,2.0,0.0,0.05826396495103836,0.0,8.0,0.0,0.0624,234.0,1.0,0.0,1.108267903327942,0.05826396495103836,0.9547894597053528,6.0,12.0,7.800000190734863,2.386070728302002
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,50,21,50,Normal,0.23166663944721222,9.243364334106445,0.0,1.399999976158142,0.968421052631579,0.9529789686203003,-1.0,2.0,0.0,0.08045977354049683,0.0,8.0,0.0,0.07413333333333333,278.0,1.0,0.0,1.1554205417633057,0.08045977354049683,0.9201388359069824,5.0,12.0,9.266666412353516,2.0483057498931885
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,60,31,60,Normal,0.2616667151451111,9.444992065429688,0.0,1.384615421295166,0.9773755656108597,1.2763372659683228,-1.0,2.0,0.0,0.09290061891078949,0.0,8.0,0.0,0.08373333333333334,314.0,1.0,0.0,1.180624008178711,0.09290061891078949,0.9078431725502014,1.0,12.0,10.466666221618652,0.8844332098960876
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,70,41,70,Normal,0.2541666328907013,9.192033767700195,0.0,1.4396135807037354,0.9806763285024155,1.7532631158828735,-1.0,0.0,0.003355704697986577,0.10678531229496002,0.0,8.0,0.0,0.08133333333333333,305.0,0.0,0.0,1.1490042209625244,0.10678531229496002,0.8956987857818604,-3.0,12.0,10.166666984558105,0.7781745195388794
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,80,51,80,Normal,0.2616667151451111,7.917226314544678,0.0,1.4101382493972778,0.967741935483871,1.2304434776306152,-1.0,0.0,0.00980392156862745,0.11936339735984802,0.0,8.0,0.0,0.08373333333333334,314.0,0.0,0.0,0.9896532893180847,0.11936339735984802,0.8137820363044739,3.0,13.0,10.466666221618652,1.1175369024276733
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,90,61,90,Normal,0.27000001072883606,6.3503336906433105,0.0015151515835896134,1.504807710647583,0.9519230769230769,1.594487190246582,-1.0,0.0,0.012779552715654952,0.1325031965970993,0.0,8.0,0.0,0.0864,324.0,0.0,0.03333333507180214,0.7937917113304138,0.1325031965970993,0.7481480836868286,1.0,13.0,10.800000190734863,1.2754085063934326
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,100,71,100,Unknown,0.28583332896232605,5.134664058685303,0.0,1.4163089990615845,0.9484978540772532,0.9888424873352051,-1.0,0.0,0.021212121212121213,0.12943528592586517,-8.0,8.17516040802002,0.0,0.09146666666666667,343.0,0.0,0.0,0.6280811387686143,0.12943528592586517,0.6748791933059692,2.0,13.0,11.433333396911621,1.2565385103225708
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,110,81,110,Unknown,0.2774999737739563,5.933481216430664,0.0,1.2608696222305298,0.9446640316205533,0.945471465587616,-1.0,0.0,0.01567398119122257,0.12810999155044556,0.0,8.175161361694336,0.0,0.0888,333.0,0.0,0.0,0.7257937738370127,0.12810999155044556,0.6843881607055664,-3.0,13.0,11.100000381469727,1.445683240890503
00,000000_000300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\000000_000300\00_f0000_0300\window_events.jsonl,120,91,120,Normal,0.23833328485488892,6.750973701477051,0.0,1.192139744758606,0.9432314410480349,0.862335741519928,-1.0,0.0,0.014652014652014652,0.11724138259887695,3.3137083053588867,8.350321769714355,0.0,0.07626666666666666,286.0,0.0,0.0,0.8084686899086986,0.11724138259887695,0.6899999976158142,-4.0,13.0,9.533333778381348,2.362672805786133
